StockCode,StockName,YahooFinanceSymbol
1101,台泥,1101.TW
1102,亞泥,1102.TW
1103,嘉泥,1103.TW
1104,環泥,1104.TW
1108,幸福,1108.TW
1109,信大,1109.TW
1110,東泥,1110.TW
1201,味全,1201.TW
1203,味王,1203.TW
1210,大成,1210.TW
1213,大飲,1213.TW
1215,卜蜂,1215.TW
1216,統一,1216.TW
1217,愛之味,1217.TW
1218,泰山,1218.TW
1219,福壽,1219.TW
1220,台榮,1220.TW
1225,福懋油,1225.TW
1227,佳格,1227.TW
1229,聯華,1229.TW
1231,聯華食,1231.TW
1232,大統益,1232.TW
1233,天仁,1233.TW
1234,黑松,1234.TW
1235,興泰,1235.TW
1236,宏亞,1236.TW
1256,鮮活果汁-KY,1256.TW
1301,台塑,1301.TW
1303,南亞,1303.TW
1304,台聚,1304.TW
1305,華夏,1305.TW
1307,三芳,1307.TW
1308,亞聚,1308.TW
1309,台達化,1309.TW
1310,台苯,1310.TW
1312,國喬,1312.TW
1313,聯成,1313.TW
1314,中石化,1314.TW
1315,達新,1315.TW
1316,上曜,1316.TW
1319,東陽,1319.TW
1321,大洋,1321.TW
1323,永裕,1323.TW
1324,地球,1324.TW
1325,恆大,1325.TW
1326,台化,1326.TW
1337,再生-KY,1337.TW
1338,廣華-KY,1338.TW
1339,昭輝,1339.TW
1340,勝悅-KY,1340.TW
1341,富林-KY,1341.TW
1342,八貫,1342.TW
1402,遠東新,1402.TW
1409,新纖,1409.TW
1410,南染,1410.TW
1413,宏洲,1413.TW
1414,東和,1414.TW
1416,廣豐,1416.TW
1417,嘉裕,1417.TW
1418,東華,1418.TW
1419,新紡,1419.TW
1423,利華,1423.TW
1432,大魯閣,1432.TW
1434,福懋,1434.TW
1435,中福,1435.TW
1436,華友聯,1436.TW
1437,勤益控,1437.TW
1438,三地開發,1438.TW
1439,雋揚,1439.TW
1440,南紡,1440.TW
1441,大東,1441.TW
1442,名軒,1442.TW
1443,立益物流,1443.TW
1444,力麗,1444.TW
1445,大宇,1445.TW
1446,宏和,1446.TW
1447,力鵬,1447.TW
1449,佳和,1449.TW
1451,年興,1451.TW
1452,宏益,1452.TW
1453,大將,1453.TW
1454,台富,1454.TW
1455,集盛,1455.TW
1456,怡華,1456.TW
1457,宜進,1457.TW
1459,聯發,1459.TW
1460,宏遠,1460.TW
1463,強盛新,1463.TW
1464,得力,1464.TW
1465,偉全,1465.TW
1466,聚隆,1466.TW
1467,南緯,1467.TW
1468,昶和,1468.TW
1470,大統新創,1470.TW
1471,首利,1471.TW
1472,三洋實業,1472.TW
1473,台南,1473.TW
1474,弘裕,1474.TW
1475,業旺,1475.TW
1476,儒鴻,1476.TW
1477,聚陽,1477.TW
1503,士電,1503.TW
1504,東元,1504.TW
1506,正道,1506.TW
1512,瑞利,1512.TW
1513,中興電,1513.TW
1514,亞力,1514.TW
1515,力山,1515.TW
1516,川飛,1516.TW
1517,利奇,1517.TW
1519,華城,1519.TW
1521,大億,1521.TW
1522,堤維西,1522.TW
1524,耿鼎,1524.TW
1525,江申,1525.TW
1526,日馳,1526.TW
1527,鑽全,1527.TW
1528,恩德,1528.TW
1529,樂事綠能,1529.TW
1530,亞崴,1530.TW
1531,高林股,1531.TW
1532,勤美,1532.TW
1533,車王電,1533.TW
1535,中宇,1535.TW
1536,和大,1536.TW
1537,廣隆,1537.TW
1538,正峰,1538.TW
1539,巨庭,1539.TW
1540,喬福,1540.TW
1541,錩泰,1541.TW
1558,伸興,1558.TW
1560,中砂,1560.TW
1563,巧新,1563.TW
1568,倉佑,1568.TW
1582,信錦,1582.TW
1583,程泰,1583.TW
1587,吉茂,1587.TW
1589,永冠-KY,1589.TW
1590,亞德客-KY,1590.TW
1597,直得,1597.TW
1598,岱宇,1598.TW
1603,華電,1603.TW
1604,聲寶,1604.TW
1605,華新,1605.TW
1608,華榮,1608.TW
1609,大亞,1609.TW
1611,中電,1611.TW
1612,宏泰,1612.TW
1614,三洋電,1614.TW
1615,大山,1615.TW
1616,億泰,1616.TW
1617,榮星,1617.TW
1618,合機,1618.TW
1626,艾美特-KY,1626.TW
1702,南僑,1702.TW
1707,葡萄王,1707.TW
1708,東鹼,1708.TW
1709,和益,1709.TW
1710,東聯,1710.TW
1711,永光,1711.TW
1712,興農,1712.TW
1713,國化,1713.TW
1714,和桐,1714.TW
1717,長興,1717.TW
1718,中纖,1718.TW
1720,生達,1720.TW
1721,三晃,1721.TW
1722,台肥,1722.TW
1723,中碳,1723.TW
1725,元禎,1725.TW
1726,永記,1726.TW
1727,中華化,1727.TW
1730,花仙子,1730.TW
1731,美吾華,1731.TW
1732,毛寶,1732.TW
1733,五鼎,1733.TW
1734,杏輝,1734.TW
1735,日勝化,1735.TW
1736,喬山,1736.TW
1737,臺鹽,1737.TW
1752,南光,1752.TW
1760,寶齡富錦,1760.TW
1762,中化生,1762.TW
1773,勝一,1773.TW
1776,展宇,1776.TW
1783,和康生,1783.TW
1786,科妍,1786.TW
1789,神隆,1789.TW
1795,美時,1795.TW
1802,台玻,1802.TW
1805,寶徠,1805.TW
1806,冠軍,1806.TW
1808,潤隆,1808.TW
1809,中釉,1809.TW
1810,和成,1810.TW
1817,凱撒衛,1817.TW
1903,士紙,1903.TW
1904,正隆,1904.TW
1905,華紙,1905.TW
1906,寶隆,1906.TW
1907,永豐餘,1907.TW
1909,榮成,1909.TW
2002,中鋼,2002.TW
2006,東和鋼鐵,2006.TW
2007,燁興,2007.TW
2008,高興昌,2008.TW
2009,第一銅,2009.TW
2010,春源,2010.TW
2012,春雨,2012.TW
2013,中鋼構,2013.TW
2014,中鴻,2014.TW
2015,豐興,2015.TW
2017,官田鋼,2017.TW
2020,美亞,2020.TW
2022,聚亨,2022.TW
